steamid64,steam3,latest_name,steam_persona_name,steam_profile_url,steamhistory_url,avatar_url,avatar_full_url,confidence_score,confidence_tier,independent_source_groups,source_count,raw_source_signals,evidence_count,flags,primary_source,primary_source_name,strongest_sources,strongest_source_names,all_sources,all_source_names
76561197960265901,[U:1:173],,,https://steamcommunity.com/profiles/76561197960265901/,https://steamhistory.net/id/76561197960265901,https://avatars.fastly.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_medium.jpg,https://avatars.fastly.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_full.jpg,2.3,very_low,1,1,1,0,suspicious,cheaterlist-group-playerlist-group,CheaterList — group association,cheaterlist-group-playerlist-group,CheaterList — group association,cheaterlist-group-playerlist-group,CheaterList — group association
76561197960270105,[U:1:4377],,Australia,https://steamcommunity.com/profiles/76561197960270105/,https://steamhistory.net/id/76561197960270105,https://avatars.fastly.steamstatic.com/ce0480486f484bbdf83bd7e9369da670acc7b759_medium.jpg,https://avatars.fastly.steamstatic.com/ce0480486f484bbdf83bd7e9369da670acc7b759_full.jpg,92.0,high,1,1,1,0,cheater,lmaobox-priority-d3fc0n6-pazer,TF2BD — official list (compiled copy),lmaobox-priority-d3fc0n6-pazer,TF2BD — official list (compiled copy),lmaobox-priority-d3fc0n6-pazer,TF2BD — official list (compiled copy)
76561197960270608,[U:1:4880],,Sackerheadz,https://steamcommunity.com/profiles/76561197960270608/,https://steamhistory.net/id/76561197960270608,https://avatars.fastly.steamstatic.com/d48af40bd3fda252ed56fe2e719108fb2b34bbd8_medium.jpg,https://avatars.fastly.steamstatic.com/d48af40bd3fda252ed56fe2e719108fb2b34bbd8_full.jpg,92.0,high,1,1,1,0,cheater,lmaobox-priority-d3fc0n6-pazer,TF2BD — official list (compiled copy),lmaobox-priority-d3fc0n6-pazer,TF2BD — official list (compiled copy),lmaobox-priority-d3fc0n6-pazer,TF2BD — official list (compiled copy)
76561197960272169,[U:1:6441],invalid,invalid,https://steamcommunity.com/profiles/76561197960272169/,https://steamhistory.net/id/76561197960272169,https://avatars.fastly.steamstatic.com/e130493ef321c3e6b33ee603e6415d00ffbb10d4_medium.jpg,https://avatars.fastly.steamstatic.com/e130493ef321c3e6b33ee603e6415d00ffbb10d4_full.jpg,82.9,high,2,2,2,2,cheater;watched,gfl-community-bans,GFL — community bans,gfl-community-bans,GFL — community bans,gfl-community-bans;lmaobox-priority-mcdb-watched,GFL — community bans;MCDB — watched
76561197960274264,[U:1:8536],,CATSNWIZHATS,https://steamcommunity.com/profiles/76561197960274264/,https://steamhistory.net/id/76561197960274264,https://avatars.fastly.steamstatic.com/28ef63ad5881b06ac72df380599937e1a4a6ae36_medium.jpg,https://avatars.fastly.steamstatic.com/28ef63ad5881b06ac72df380599937e1a4a6ae36_full.jpg,92.0,high,1,1,1,0,cheater,lmaobox-priority-d3fc0n6-pazer,TF2BD — official list (compiled copy),lmaobox-priority-d3fc0n6-pazer,TF2BD — official list (compiled copy),lmaobox-priority-d3fc0n6-pazer,TF2BD — official list (compiled copy)
76561197960278017,[U:1:12289],Nierxi,ez$ nierxi Ƹ̴Ӂ̴Ʒ,https://steamcommunity.com/profiles/76561197960278017/,https://steamhistory.net/id/76561197960278017,https://avatars.fastly.steamstatic.com/ef6deb9ec2a6b116cff45c36691f9843aa9098ba_medium.jpg,https://avatars.fastly.steamstatic.com/ef6deb9ec2a6b116cff45c36691f9843aa9098ba_full.jpg,92.0,high,2,3,3,3,cheater;server_ban,tf2db-sleepy-list-playerlist-rgl-gg,RGL cheating bans — archived snapshot,tf2db-sleepy-list-playerlist-rgl-gg,RGL cheating bans — archived snapshot,tf2db-sleepy-list-playerlist-rgl-gg;panda-sourcebans;skial-sourcebans,RGL cheating bans — archived snapshot;Panda Community — SourceBans;Skial — SourceBans
76561197960294658,[U:1:28930],,eran44444,https://steamcommunity.com/profiles/76561197960294658/,https://steamhistory.net/id/76561197960294658,https://avatars.fastly.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_medium.jpg,https://avatars.fastly.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_full.jpg,92.0,high,1,1,1,0,cheater,lmaobox-priority-d3fc0n6-pazer,TF2BD — official list (compiled copy),lmaobox-priority-d3fc0n6-pazer,TF2BD — official list (compiled copy),lmaobox-priority-d3fc0n6-pazer,TF2BD — official list (compiled copy)
76561197960294711,[U:1:28983],,JeRM,https://steamcommunity.com/profiles/76561197960294711/,https://steamhistory.net/id/76561197960294711,https://avatars.fastly.steamstatic.com/e085d7bef2d89fc50caf953bfa7ae828d4fd03c3_medium.jpg,https://avatars.fastly.steamstatic.com/e085d7bef2d89fc50caf953bfa7ae828d4fd03c3_full.jpg,2.3,very_low,1,1,1,0,suspicious,cheaterlist-group-playerlist-group,CheaterList — group association,cheaterlist-group-playerlist-group,CheaterList — group association,cheaterlist-group-playerlist-group,CheaterList — group association
76561197960299533,[U:1:33805],,tequito,https://steamcommunity.com/profiles/76561197960299533/,https://steamhistory.net/id/76561197960299533,https://avatars.fastly.steamstatic.com/32bcf75e8099c8d62dcc1f56452bb8e7cc0ef516_medium.jpg,https://avatars.fastly.steamstatic.com/32bcf75e8099c8d62dcc1f56452bb8e7cc0ef516_full.jpg,92.0,high,1,1,1,0,cheater,lmaobox-priority-d3fc0n6-pazer,TF2BD — official list (compiled copy),lmaobox-priority-d3fc0n6-pazer,TF2BD — official list (compiled copy),lmaobox-priority-d3fc0n6-pazer,TF2BD — official list (compiled copy)
76561197960300901,[U:1:35173],,bang x,https://steamcommunity.com/profiles/76561197960300901/,https://steamhistory.net/id/76561197960300901,https://avatars.fastly.steamstatic.com/b613bc3b162f58fbe9b6971d4d3b9ac4608ce3ba_medium.jpg,https://avatars.fastly.steamstatic.com/b613bc3b162f58fbe9b6971d4d3b9ac4608ce3ba_full.jpg,14.4,very_low,1,1,1,0,watched,lmaobox-priority-mcdb-watched,MCDB — watched,lmaobox-priority-mcdb-watched,MCDB — watched,lmaobox-priority-mcdb-watched,MCDB — watched
